Article,weight,Act
Article 72b,0.9975116,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 52,0.99727917,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 13,0.99702287,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 55,0.9969832,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 59,0.9968071,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 63,0.9961266,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 54,0.995715,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 60,0.9956576,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 84,0.99546796,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 92,0.9953639,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 97,0.9952629,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 94,0.99512726,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 12,0.9949772,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 18,0.9949583,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 47,0.99447775,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 56,0.99372596,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 8,0.9936575,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32015R0081.json
Article 486,0.99303776,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 66,0.9928932,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 100,0.9926352,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 5,0.9921555,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32013R1024.json
Article 43,0.99213356,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32014R0468.json
Article 16,0.9917095,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 30,0.99156433,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32013R1024.json
Article 47,0.9914915,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32014R0468.json
Article 15,0.99127954,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 45m,0.9911073,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 85,0.99101704,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 16,0.9909107,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32016R0867.json
Article 43,0.9903139,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 87,0.99022007,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 45g,0.98998475,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 96,0.9893745,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
Article 2,0.9893062,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32013R1024.json
Article 10,0.9888688,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014R1333-20191028.json
Article 481,0.9886436,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02013R0575-20191225.json
Article 88,0.9885801,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32014R0468.json
Article 108,0.9885514,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32014R0468.json
Article 119,0.9884634,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/32014R0468.json
Article 33,0.9883216,https://github.com/shahrzadkh/Revix_ConReg/blob/main/ai-challenge/02014L0059-20200107.json
